REPORT_ID_DERIVED,RunCount,RunningDaysSpan
00O6P000000ZLmYUAW,97,27
00O2R000003JSoUUAW,344,26
00O6P000000ZNLzUAO,14,25
00O2R000004Im1oUAC,9,23
00O6P000001B7qrUAC,1,23
00O6P000000uLCwUAM,4,23
00O2R000004BQSmUAO,16,23
00O0b000004kTazEAE,5617,22
00O6P000000VFNFUA4,2,22
00O2R000003zZykUAE,7,22
00O2R000004ImGKUA0,6,22
00O6P000000uLIfUAM,1,21
00O2R000003s5ZgUAI,11,20
00O6P0000012jdnUAA,8,20
00O6P000000VFRvUAO,14,18
00O6P000001B85rUAC,5,18
00O6P0000012kDgUAI,6,17
00O6P000001B7egUAC,5,17
00O6P0000012jMDUAY,18,17
00O2R000004ImdTUAS,1,16
00O6P000000uLdYUAU,11,16
00O6P000001B7TOUA0,6,16
00O6P000001B8NWUA0,19,14
00O6P000000uKw0UAE,1,14
00O6P000001B8NgUAK,4,14
00O6P000000VElgUAG,4,14
00O6P000000ZLx7UAG,2,13
00O2R000004BQB2UAO,22,13
00O6P000000VEhoUAG,2,12
00O2R000003zZwyUAE,120,12
00O6P0000016vmQUAQ,10,11
00O6P000000VEhpUAG,97,10
00O2R0000044FapUAE,2,10
00O2R000003JUDGUA4,22,8
00O6P0000016wGVUAY,3,6
00O2R000003s2NZUAY,124,6
00O2R0000044FBGUA2,2,6
00O6P000000yWiDUAU,1,5
00O0b000004kkZKEAY,305,4
00O0b000004AnheEAC,152,4
00O2R0000043l85UAA,4,2
00O6P000000ZLilUAG,1,1
00O6P000000uLaoUAE,1,1
